A,P,D,Y
18,2003,17.89671554,121
19,2003,19.69247723,113
20,2003,2.70828641,37
21,2003,7.79010136,37
22,2003,11.81152176,38
23,2003,6.67545413,31
24,2003,6.73465957,43
25,2003,1.55610826,34
26,2003,2.364246,31
27,2003,5.70749508,23
28,2003,2.52845375,43
29,2003,3.12699456,32
30,2003,1.48341237,33
31,2003,0.42344008,34
32,2003,0.87684912,28
33,2003,9.22109526,39
34,2003,1.349292,42
35,2003,2.07487952,28
36,2003,1.98642373,29
37,2003,8.56335152,34
38,2003,5.10105744,31
39,2003,2.7573343,23
40,2003,2.3434307,26
41,2003,0.63537474,42
42,2003,0.8793491,31
43,2003,0,38
44,2003,0.38112583,29
45,2003,6.8831517,30
46,2003,0.36982855,35
47,2003,2.6123778,30
48,2003,0.96118708,28
49,2003,0,26
50,2003,0.70966638,27
51,2003,2.80187495,35
52,2003,2.64762158,37
53,2003,1.96965125,25
54,2003,0,23
55,2003,0,24
56,2003,2.00748886,26
57,2003,0,18
58,2003,2.97379768,14
59,2003,2.64767812,23
18,2005,21.48154128,118
19,2005,33.83412552,104
20,2005,7.94510156,38
21,2005,11.03300432,46
22,2005,8.469468,45
23,2005,3.70287718,46
24,2005,8.11552332,46
25,2005,9.7135437,41
26,2005,5.41920896,44
27,2005,3.0860904,40
28,2005,3.12626304,38
29,2005,8.34177168,48
30,2005,2.58457946,46
31,2005,4.84869744,36
32,2005,1.40099522,29
33,2005,0.65701764,36
34,2005,9.58760556,39
35,2005,3.514971,41
36,2005,1.71423886,34
37,2005,0.69192994,26
38,2005,2.38860831,33
39,2005,0,19
40,2005,2.08818429,51
41,2005,0,31
42,2005,3.42156837,33
43,2005,2.3449154,34
44,2005,4.9860125,35
45,2005,0,47
46,2005,2.1236992,40
47,2005,1.8927612,33
48,2005,2.50972942,22
49,2005,0,30
50,2005,2.26858032,36
51,2005,0.43661316,38
52,2005,3.09964575,25
53,2005,0.35427366,26
54,2005,0,33
55,2005,0.24257832,24
56,2005,0.33263478,18
57,2005,0.72491706,21
58,2005,1.83977425,25
59,2005,0,26
18,2007,4.636758,40
19,2007,5.4443832,40
20,2007,4.19236906,22
21,2007,9.44161452,36
22,2007,10.14271992,36
23,2007,7.29734091,37
24,2007,3.97563264,36
25,2007,2.7360666,36
26,2007,5.09167033,31
27,2007,1.3778115,25
28,2007,4.9294656,30
29,2007,5.86063368,44
30,2007,4.9220212,37
31,2007,4.26734642,38
32,2007,2.80433664,49
33,2007,4.1812616,38
34,2007,3.04238716,37
35,2007,0.9510464,32
36,2007,1.95403905,45
37,2007,1.6900653,42
38,2007,2.1513296,56
39,2007,2.8593992,40
40,2007,5.07568192,41
41,2007,0,33
42,2007,3.3963679,43
43,2007,1.3560068,40
44,2007,3.62168506,49
45,2007,6.8736435,50
46,2007,3.1022514,45
47,2007,2.55711456,44
48,2007,1.65779922,33
49,2007,0.49306908,42
50,2007,1.62505729,43
51,2007,0.69089884,46
52,2007,2.05194868,46
53,2007,3.9490164,36
54,2007,2.1449988,34
55,2007,0.73437128,38
56,2007,0.50707542,38
57,2007,0,27
58,2007,0.31931775,45
59,2007,0.41472672,32
18,2009,3.590547,30
19,2009,1.52507488,32
20,2009,7.94516076,36
21,2009,7.522875,36
22,2009,10.69363159,37
23,2009,12.26744316,42
24,2009,3.3713057,35
25,2009,10.13961468,37
26,2009,5.06613302,38
27,2009,3.5780428,40
28,2009,2.72641725,45
29,2009,3.7054402,35
30,2009,2.81762558,46
31,2009,7.484192,50
32,2009,1.93943298,38
33,2009,3.65060815,35
34,2009,2.79795996,34
35,2009,2.0578211,34
36,2009,2.64386448,48
37,2009,0,35
38,2009,1.480083,44
39,2009,5.14565432,59
40,2009,0.87368206,47
41,2009,5.05274088,44
42,2009,6.31964476,44
43,2009,3.98254985,53
44,2009,0.72001765,55
45,2009,3.22025986,53
46,2009,0.58640631,47
47,2009,1.624476,48
48,2009,2.89408126,46
49,2009,0,47
50,2009,0.35086283,41
51,2009,3.7451524,40
52,2009,4.5626823,45
53,2009,0.54226084,44
54,2009,0,38
55,2009,0.65923552,32
56,2009,3.0117984,39
57,2009,2.13781975,25
58,2009,0,30
59,2009,1.391178,34
