,2003,2005,2007,2009
18,10.05158374,10.14336378,2.2859056,3.590547
19,12.33523707,19.47693592,1.8744284,0
20,0.89001354,5.50665676,3.19494142,0
21,1.68235226,3.55871364,3.13979256,1.9296558
22,9.97716334,5.9768658,1.73362572,3.74911232
23,1.5484965,0,0,7.94565618
24,4.11474224,4.13919822,2.0573226,0
25,1.55610826,5.57259085,0,2.37217064
26,2.14304922,2.86047652,0.45128312,0
27,0.07736901,0.8756596,1.3778115,0.8085208
28,0.73676458,0.19877192,3.9195987,0.50713425
29,2.4061952,2.55759024,1.25039156,1.72198705
30,0.55602723,0.79799006,1.16450322,2.27462456
31,0.42344008,1.29239352,0,0.6063655
32,0,0.71503038,0.66727416,1.06313588
33,1.59633279,0,2.45036996,2.6722108
34,0,4.25341995,0.44845591,2.01243586
35,0.80446436,0,0,0
36,1.41959901,0,1.130409,0
37,2.54076288,0,0.60159624,0
38,2.74117097,0.51184254,0,0
39,1.0532735,0,2.8593992,2.01544944
40,1.95759798,0,0,0.34840066
41,0,0,0,2.90431372
42,0.47609645,0.4495491,0,0
43,0,0,0.6917948,2.44974798
44,0,0,2.55460716,0
45,0,0,1.8405435,1.48872495
46,0,0,1.84866525,0
47,0.9382368,1.8927612,0.53861984,0.52048128
48,0,0.61848336,1.65779922,1.61943322
49,0,0,0.49306908,0
50,0.70966638,1.39200732,0,0.35086283
51,1.43211145,0.43661316,0.44492396,0.4051356
52,0.31919049,2.5871125,0,1.9719063
53,1.540233,0.35427366,2.67569136,0
54,0,0,0,0
55,0,0.24257832,0,0.65923552
56,0,0.33263478,0,3.0117984
57,0,0.72491706,0,1.643566
58,0,0.40026525,0,0
59,0.38976651,0,0,0.38962708
